sample,error,pred_x,pred_y,pred_z,true_x,true_y,true_z
Sample_0,0.13875599205493927,0.08922357,-0.07700408,0.051651396,-2.113298e-08,-0.04141586,-0.048477788
Sample_1,3.1737282276153564,0.08922099,-0.07699945,0.051661666,2.719654,-1.8525106,0.021114232
Sample_2,1.015411376953125,0.08921988,-0.07698394,0.051686037,-0.008899225,-0.09659358,1.0621555
Sample_3,0.4572450816631317,0.089223884,-0.07700184,0.05165528,-2.1265295e-07,-0.52247226,4.3521138e-07
Sample_4,0.11551741510629654,0.0892143,-0.076986566,0.0516852,1.5469216e-07,-0.024893535,-6.362709e-07
Sample_5,0.1163971871137619,0.08922187,-0.076999545,0.051660143,1.8795767e-08,-0.022972602,-8.240543e-07
Sample_6,0.21316657960414886,0.0892137,-0.076976754,0.051700138,-1.6390383e-06,-0.26354533,1.2207888e-06
Sample_7,0.5594797134399414,0.08922329,-0.07699386,0.051667094,0.0028169248,0.46243712,0.17235574
Sample_8,1.8136794567108154,0.08922187,-0.07699567,0.051665824,0.012466528,0.90563375,-1.470826
Sample_9,1.5412304401397705,0.08921935,-0.07699667,0.051667117,0.011619891,-0.71744597,-1.3480451
Sample_10,1.3298699855804443,0.08922431,-0.07699422,0.05166586,-0.32186192,-0.67149734,-1.0646353
Sample_11,1.9278903007507324,0.089215614,-0.07698479,0.051687274,1.1853682,-0.7115726,-1.4017601
Sample_12,0.8706459999084473,0.08922319,-0.077001475,0.05165715,0.25724715,0.24371906,-0.74013245
Sample_13,0.49355703592300415,0.08922233,-0.07700774,0.051647466,0.0008134301,0.4057146,-0.0009029054
Sample_14,0.3456973135471344,0.08922386,-0.07700748,0.05164675,0.19920388,-0.40382335,0.02710278
Sample_15,0.08364317566156387,0.08922285,-0.077003986,0.05165289,0.030166116,-0.10599505,1.8444673e-07
Sample_16,0.5597066879272461,0.08922312,-0.077003144,0.051653873,0.14698681,-0.0035303738,-0.50019455
Sample_17,0.8191422820091248,0.08921925,-0.0769813,0.051687684,-0.29656303,0.1028332,-0.64819294
Sample_18,0.5151388645172119,0.08922118,-0.07698162,0.051691256,9.402102e-09,-0.024815502,-0.45297334
Sample_19,0.19391867518424988,0.0892189,-0.07699692,0.051665436,-0.008176906,-0.03136603,-0.10969232
Sample_20,0.6104384660720825,0.089223124,-0.07700223,0.051655058,1.6185444e-07,-0.06984034,-0.55218524
Sample_21,0.8272473216056824,0.08922254,-0.07699737,0.051662028,-0.22789459,-0.8407728,0.031123074
Sample_22,0.1883028745651245,0.08922375,-0.07700373,0.05165202,-2.8777835e-08,0.08056897,-1.8247194e-08
Sample_23,1.5835415124893188,0.08922158,-0.07700637,0.051650815,0.021186845,-0.6761302,-1.4125985
Sample_24,0.12962280213832855,0.0892209,-0.07699662,0.051665917,-0.0007394568,-0.00072592555,-0.0021112931
